等级,基础表工程编码,资源名称,资源ID,三码工程编码,三码资源名称,说明
W,17SD018305002N,章丘翡翠东郡5号楼800M基站天线01,371231600000000000386499,17SD018305002,章丘翡翠东郡5号楼800M基站天线01,该资源拟不转固
W,17SD018305002N,章丘翡翠东郡5号楼800M基站天线02,371231600000000000386500,17SD018305002,章丘翡翠东郡5号楼800M基站天线02,该资源拟不转固
W,17SD018305002N,章丘翡翠东郡5号楼800M基站天线03,371231600000000000386501,17SD018305002,章丘翡翠东郡5号楼800M基站天线03,该资源拟不转固
W,17SD018309001N,高新体育学院西北角800MRRU3662/01,371232200000000000418275,17SD018309001,高新体育学院西北角800MRRU3662/01,该资源拟不转固
W,17SD018309001N,高新体育学院西北角800MRRU3662/02,371232200000000000418278,17SD018309001,高新体育学院西北角800MRRU3662/02,该资源拟不转固
W,17SD018309001N,高新体育学院西北角800MRRU3662/03,371232200000000000418280,17SD018309001,高新体育学院西北角800MRRU3662/03,该资源拟不转固
W,17SD018309001N,历下市府大楼东800M基站天线03,371231600000000000386466,17SD018309001,历下市府大楼东800M基站天线03,该资源拟不转固
W,17SD018310002N,天桥辛甸花园34号楼800MRRU3662/01,371232200000000000420080,17SD018310002,天桥辛甸花园34号楼800MRRU3662/01,该资源拟不转固
W,17SD018311002N,天桥宝华新区800M基站天线02,371231600000000000386457,17SD018311002,天桥宝华新区800M基站天线02,该资源拟不转固
W,17SD018311002N,天桥聚贤新区800M基站天线01,371231600000000000386467,17SD018311002,天桥聚贤新区800M基站天线01,该资源拟不转固
W,17SD018311002N,天桥聚贤新区800M基站天线02,371231600000000000386468,17SD018311002,天桥聚贤新区800M基站天线02,该资源拟不转固
W,17SD018311002N,天桥聚贤新区800M基站天线03,371231600000000000386469,17SD018311002,天桥聚贤新区800M基站天线03,该资源拟不转固
W,17SD018311002N,天桥盛世名门800M基站天线01,371231600000000000386510,17SD018311002,天桥盛世名门800M基站天线01,该资源拟不转固
W,17SD018311002N,天桥盛世名门800M基站天线02,371231600000000000386511,17SD018311002,天桥盛世名门800M基站天线02,该资源拟不转固
W,17SD018311002N,天桥盛世名门800M基站天线03,371231600000000000386512,17SD018311002,天桥盛世名门800M基站天线03,该资源拟不转固
W,17SD018314003N,槐荫阳光100F18800M基站天线01,371231600000000000386591,17SD018314003,槐荫阳光100F18800M基站天线01,该资源拟不转固
W,17SD018314003N,槐荫阳光100F18800M基站天线02,371231600000000000386592,17SD018314003,槐荫阳光100F18800M基站天线02,该资源拟不转固
W,17SD018314003N,槐荫阳光100F18800M基站天线03,371231600000000000386593,17SD018314003,槐荫阳光100F18800M基站天线03,该资源拟不转固
W,17SD018314004N,市中白马山庄西800MRRU3662/03,371232200000000000418413,17SD018314004,市中白马山庄西800MRRU3662/03,该资源拟不转固
W,17SD018315002N,平阴平阴中海碳素800MRRU3662/03,371232200000000000419027,17SD018315002,平阴平阴中海碳素800MRRU3662/03,该资源拟不转固
